event_id,hcp_id,event_date,event_type,source,topic,engagement_score,note_raw
EVT0001,HCP0026,2024-01-15,Local CME,Congress app,Clinical trial,0.73,Candidate statement head piece popular old else spend against ask total kitchen.
EVT0002,HCP0007,2024-07-11,Congress,Conference list,Companion diagnostics,0.68,Begin suggest speak business walk anything under item right many.
EVT0003,HCP0046,2025-10-27,Local CME,Social,Adherence,0.27,Raise common Democrat cost evidence third alone people early far include nearly article evidence case.
EVT0004,HCP0001,2024-11-04,Conference Hallway,Conference list,Companion diagnostics,0.48,Poor something eat yes myself affect him require look sit general.
EVT0005,HCP0044,2024-04-29,Local CME,Conference list,Companion diagnostics,0.97,Maybe home conference five despite time sing around yard morning short yourself wind beyond prevent entire staff true.
EVT0006,HCP0026,2025-04-27,Congress,Social,Adherence,0.32,Shake way offer work home very yard community door.
EVT0007,HCP0024,2024-10-28,Speaker Program,Social,Clinical trial,0.4,South recently trial agreement red way nor none could write think man finally make.
EVT0008,HCP0013,2024-04-15,Conference Hallway,Social,Companion diagnostics,0.76,Argue own after long forward pass southern future concern.
EVT0009,HCP0031,2025-09-02,Speaker Program,Field report,Clinical trial,0.54,Arrive challenge relate center book money half authority relate product only from follow wish.
EVT0010,HCP0002,2025-05-12,Speaker Program,Social,Access,0.74,Social whether power company why really up skin development open compare fill read camera rock we.
EVT0011,HCP0012,2025-06-24,Congress,Social,Adherence,0.38,Hot yes whole allow own TV whose determine not view cell seat draw word collection those become remember.
EVT0012,HCP0023,2024-03-06,Ad Board,Social,Companion diagnostics,0.21,Land enter economic attack either blue ability history run why this manage her national.
EVT0013,HCP0003,2025-09-29,Ad Board,Social,Companion diagnostics,0.12,Stock small official serve difficult later son almost after end.
EVT0014,HCP0033,2024-10-21,Local CME,Social,Guidelines,0.49,Avoid color heart rule natural together behavior order party lot.
EVT0015,HCP0049,2025-06-03,Local CME,Field report,Adherence,0.87,Issue president parent its approach former window important.
EVT0016,HCP0035,2026-01-02,Conference Hallway,Conference list,Guidelines,0.75,Reveal role enter example down anyone occur style child guess into far product outside current agent color factor.
EVT0017,HCP0022,2025-02-03,Conference Hallway,Field report,Companion diagnostics,0.82,List break size likely thus enter politics hold he.
EVT0018,HCP0038,2024-06-14,Speaker Program,Conference list,Guidelines,0.72,Hard knowledge enjoy let difficult environmental article sell property beat gas must wife operation network.
EVT0019,HCP0044,2024-03-29,Conference Hallway,Conference list,Access,0.28,Stand industry movement term little think live bad total research maybe too song quality per.
EVT0020,HCP0042,2025-09-12,Conference Hallway,Congress app,Companion diagnostics,0.95,We last we cold deep cover amount bad raise dark.
EVT0021,HCP0046,2025-05-20,Ad Board,Conference list,Access,0.6,Challenge organization floor road southern beautiful news need task mind true actually red onto site both change note old.
EVT0022,HCP0018,2024-01-19,Ad Board,Field report,Guidelines,0.71,Understand none big experience movie gas improve him magazine participant.
EVT0023,HCP0008,2024-06-27,Speaker Program,Congress app,Clinical trial,0.4,Common idea peace race I how these real.
EVT0024,HCP0003,2024-04-26,Speaker Program,Conference list,Clinical trial,0.61,Second TV today after stage field exactly man receive.
EVT0025,HCP0040,2025-05-13,Ad Board,Field report,Guidelines,0.79,Win direction feel season similar fly rock painting become kid.
EVT0026,HCP0032,2025-07-24,Ad Board,Conference list,Adherence,0.64,Scientist service test start middle city find medical career surface these ahead cover strategy student.
EVT0027,HCP0042,2024-04-16,Congress,Social,Companion diagnostics,0.97,Almost anything growth current happy less however type race drop major land.
EVT0028,HCP0045,2024-04-23,Congress,Congress app,Adherence,0.14,Only glass clear thus see read expect hit clear occur who tax positive question especially important.
EVT0029,HCP0030,2024-04-17,Local CME,Congress app,Access,0.92,Ten whose radio listen car community song difference.
EVT0030,HCP0026,2024-06-09,Ad Board,Social,Adherence,0.55,Source figure whom poor interest heavy give edge level quality station however bill memory production successful hear positive participant.
EVT0031,HCP0034,2024-04-11,Local CME,Field report,Guidelines,0.84,Range loss from everybody foot everybody prevent weight prepare could military drive arm.
EVT0032,HCP0036,2024-05-05,Local CME,Social,Companion diagnostics,0.79,Identify floor cause agent market fast trade identify say on yes staff gas require rather point little wait grow.
EVT0033,HCP0001,2024-01-07,Local CME,Social,Guidelines,0.36,Suddenly subject theory Congress best campaign else space several consumer quite friend become.
EVT0034,HCP0011,2024-06-24,Congress,Field report,Guidelines,0.74,Development the inside thought he one less brother approach plant oil per line create.
EVT0035,HCP0005,2025-02-28,Ad Board,Conference list,Access,0.78,Test high fear approach take case customer important notice trade.
EVT0036,HCP0045,2025-06-26,Conference Hallway,Conference list,Access,0.82,Century television Congress ball forward would finish around later decide similar office citizen size sister can.
EVT0037,HCP0049,2025-02-27,Conference Hallway,Social,Adherence,0.82,Plant idea whole himself also current health add focus street course quality phone eat really general.
EVT0038,HCP0011,2025-01-05,Congress,Social,Access,0.79,Bill me fill assume animal way lay minute model its.
EVT0039,HCP0026,2026-01-04,Speaker Program,Congress app,Clinical trial,0.4,Garden top grow could way truth idea direction road capital.
EVT0040,HCP0009,2025-02-15,Local CME,Social,Clinical trial,0.45,Operation college hand practice also theory eight movement.
