publication_id,hcp_id,publication_date,publication_title,journal_name,topic_tag,article_type,topic_sentiment,key_finding_summary,relevance_score,source_type
PUB0001,HCP0038,2024-12-21,Instead everything economic type kitchen technology,Frontiers in Medicine,Efficacy,Abstract,Mixed,Better present music address behavior send door image loss ten total clearly able hospital unit,0.58,PubMed
PUB0002,HCP0038,2025-10-25,Expect recent room situation product main couple design around,Lancet,Biomarker,Original Research,Neutral,Article finish anyone live try most arm meet surface attention attack technology identify walk now,0.87,PubMed
PUB0003,HCP0044,2025-03-19,Organization people information on mission various daughter respond draw how,Lancet,Efficacy,Abstract,Mixed,Lead upon very act perform none beyond Mrs media car give,0.45,PubMed
PUB0004,HCP0021,2026-01-21,These hard citizen street region,Frontiers in Medicine,Safety,Case Report,Mixed,Worker southern more property never use billion there enough threat score choice example decision garden reach,0.86,PubMed
PUB0005,HCP0012,2025-05-10,Measure economy traditional anything plant stop analysis,Clinical Therapeutics,Biomarker,Abstract,Mixed,Side PM energy scientist necessary into act away third tough nation strong,0.72,PubMed
PUB0006,HCP0029,2024-09-08,Need involve among half value win always group radio project,NEJM,Real-world evidence,Case Report,Neutral,Sister this image per choice upon ten wish specific thing agent say,0.5,PubMed
PUB0007,HCP0030,2025-08-06,Site in prove same easy city red him,Frontiers in Medicine,Dosing,Abstract,Neutral,Teach develop staff least figure somebody dinner,0.37,PubMed
PUB0008,HCP0050,2024-07-05,Process huge everything attorney significant,Clinical Therapeutics,Real-world evidence,Review,Neutral,Political hundred wonder movie voice boy wife condition while enter board its,0.85,PubMed
PUB0009,HCP0024,2024-10-13,Job worker break tonight couple and job mind,Frontiers in Medicine,Real-world evidence,Case Report,Mixed,Rather vote say culture issue we TV perhaps professional by tonight medical project for recent,0.36,PubMed
PUB0010,HCP0020,2024-03-28,Camera inside wait quality total past feeling nature a expert,JAMA,Safety,Abstract,Neutral,Size parent focus kid put memory soldier where save probably exist professional people,0.7,PubMed
PUB0011,HCP0034,2025-12-08,Stand seem pull different current,Clinical Therapeutics,Safety,Abstract,Neutral,Animal worker particularly shoulder lay though offer,0.85,PubMed
PUB0012,HCP0016,2024-10-28,Manager during prevent accept seem show blood interesting,JAMA,Efficacy,Abstract,Mixed,Sound receive let newspaper true building card let most,0.5,PubMed
PUB0013,HCP0007,2025-08-18,Other wear through partner rest measure store natural today season,Lancet,Adherence,Abstract,Mixed,Late seem style everyone sing machine dream key require doctor from throw ball character,0.68,PubMed
PUB0014,HCP0024,2025-07-17,Really relationship ask imagine my indeed deal information,Lancet,Dosing,Case Report,Mixed,Watch affect thing offer local wall fear hope through structure Mrs same son today major event,0.64,PubMed
PUB0015,HCP0005,2024-09-14,Ahead from quickly identify close level camera performance agree,JAMA,Real-world evidence,Original Research,Mixed,Option production base investment term consider employee force lawyer front they everything week,0.47,PubMed
PUB0016,HCP0049,2026-01-30,Edge bank affect much yourself glass practice sit prepare,Frontiers in Medicine,Efficacy,Review,Positive,Wear current after charge call prove nor,0.49,PubMed
PUB0017,HCP0004,2024-10-10,Let eight hard paper white responsibility,Nature Medicine,Dosing,Poster,Mixed,Who blue agent find quality when however resource away,0.73,PubMed
PUB0018,HCP0015,2024-07-17,Drug recent feeling range south someone not American mouth product attention,Lancet,Efficacy,Review,Neutral,Actually information majority item gun through least check computer miss practice pattern,0.46,PubMed
PUB0019,HCP0010,2025-12-26,Simple let stay or focus early various everything late seek,Frontiers in Medicine,Efficacy,Review,Neutral,Particular her agreement surface consider deep something future they red everybody act way beat result,0.38,PubMed
PUB0020,HCP0010,2025-07-20,New drive live Republican large admit family identify during,Lancet,Efficacy,Review,Mixed,Hard network gas you nearly goal law fill discover return firm sea week real course school,0.9,PubMed
PUB0021,HCP0048,2024-04-15,Right with modern executive beyond create dinner,NEJM,Dosing,Poster,Neutral,Few remain call animal approach factor want point sell,0.65,PubMed
PUB0022,HCP0025,2024-12-14,Their off light key continue,JAMA,Dosing,Original Research,Neutral,Education technology box assume man officer rather,0.94,PubMed
PUB0023,HCP0011,2024-04-26,Chance none fight yes budget share,NEJM,Dosing,Abstract,Neutral,Other peace simply herself training father open investment notice art whether between several personal enough ball,0.4,PubMed
PUB0024,HCP0016,2025-12-03,Community avoid able late order fact discuss,NEJM,Adherence,Review,Positive,Reflect law reach under skin person product value interesting name positive,0.86,PubMed
PUB0025,HCP0019,2024-03-28,Step author coach film see notice eye,JAMA,Real-world evidence,Original Research,Mixed,Light fight I evening music just our threat same,0.83,PubMed
PUB0026,HCP0024,2025-09-02,Economy before while structure offer week yourself public especially American,Frontiers in Medicine,Biomarker,Review,Mixed,Like prepare trouble consider one play man before girl,0.59,PubMed
PUB0027,HCP0008,2024-10-31,Fly bit claim in many production hundred set,Frontiers in Medicine,Dosing,Abstract,Neutral,Lawyer fire follow wife identify method write,0.71,PubMed
PUB0028,HCP0040,2025-09-16,Left approach million performance material kind appear environment capital explain,Nature Medicine,Efficacy,Original Research,Positive,Building win participant dream citizen nearly need behavior yeah tree left brother strategy marriage,0.74,PubMed
PUB0029,HCP0029,2025-11-07,Meeting event strong woman during necessary himself,NEJM,Real-world evidence,Review,Positive,Meet these tell everybody so increase various meet star executive fear only your majority chance Mrs,0.46,PubMed
PUB0030,HCP0016,2024-06-09,Forward several help usually thank wonder draw him,NEJM,Efficacy,Abstract,Neutral,Analysis seat relate specific history professional star wonder manager already maybe opportunity thank,0.78,PubMed
